City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Penzance,50.1186,-5.5371,50.0,57,20,16.11,GB,1619436508
Grand-Santi,4.25,-54.3833,73.8,98,100,0.43,GF,1619436508
Yellowknife,62.456,-114.3525,-2.2,71,20,11.5,CA,1619436226
Chenghai,23.4632,116.768,73.4,64,75,11.18,CN,1619436508
Arrondissement du Havre,49.5833,0.3333,54.0,58,0,14.97,FR,1619436508
Rikitea,-23.1203,-134.9692,76.93,76,9,7.43,PF,1619436508
Pinega,64.7001,43.3936,41.07,91,100,6.29,RU,1619436508
Puerto Ayora,-0.7393,-90.3518,73.51,92,34,5.7,EC,1619436509
Nishihara,26.1842,127.7558,71.6,56,20,4.61,JP,1619436509
Airai,-8.9266,125.4092,56.95,77,5,2.53,TL,1619436509
Ilulissat,69.2167,-51.1,48.2,40,75,18.41,GL,1619436509
Maumere,-8.6199,122.2111,78.8,60,63,8.28,ID,1619436509
Atbasar,51.8,68.3333,48.85,86,100,4.16,KZ,1619436509
Mataura,-46.1927,168.8643,44.01,76,91,7.0,NZ,1619436509
Torbay,47.6666,-52.7314,48.2,49,90,23.02,CA,1619436509
Arraial do Cabo,-22.9661,-42.0278,73.4,94,90,2.3,BR,1619436509
Talnakh,69.4865,88.3972,16.05,89,100,8.99,RU,1619436510
Ushuaia,-54.8,-68.3,41.0,93,40,4.61,AR,1619436510
Sibu,2.3,111.8167,86.0,70,40,4.61,MY,1619436224
Redmond,47.674,-122.1215,48.0,97,91,3.62,US,1619436365
Baykit,61.67,96.37,38.39,67,72,3.29,RU,1619436510
Chapais,49.7834,-74.8492,21.2,86,90,16.11,CA,1619436510
Butaritari,3.0707,172.7902,82.99,76,11,15.48,KI,1619436510
Guerrero Negro,27.9769,-114.0611,56.08,84,43,10.83,MX,1619436510
Codrington,-38.2667,141.9667,57.02,76,100,5.39,AU,1619436511
Sol'-Iletsk,51.1631,54.9918,53.22,37,100,8.28,RU,1619436511
Dingle,10.9995,122.6711,79.36,79,76,7.16,PH,1619436511
Zuwārah,32.9312,12.082,80.56,42,86,9.46,LY,1619436511
Machalí,-34.1833,-70.6667,55.62,35,0,2.39,CL,1619436511
Saint-Philippe,-21.3585,55.7679,82.0,69,75,17.27,RE,1619436511
Atuona,-9.8,-139.0333,79.02,75,94,14.83,PF,1619436511
Laas,46.6166,10.7002,57.0,81,90,2.3,IT,1619436394
Gelemso,8.8167,40.5167,60.76,86,100,3.71,ET,1619436512
Maridi,4.9158,29.4742,77.13,69,100,3.04,SS,1619436512
Hilo,19.7297,-155.09,71.6,83,90,5.37,US,1619436512
New Norfolk,-42.7826,147.0587,54.0,79,68,3.0,AU,1619436512
Bengkulu,-3.8004,102.2655,81.01,83,93,5.88,ID,1619436512
Asău,46.4333,26.4,45.0,43,80,1.81,RO,1619436512
Hobart,-42.8794,147.3294,54.0,66,20,8.05,AU,1619436242
Sabang,5.8933,95.3214,84.4,70,99,12.8,ID,1619436513
Gadsden,34.0143,-86.0066,43.0,100,1,5.3,US,1619436513
Kruisfontein,-34.0033,24.7314,85.68,28,100,5.77,ZA,1619436513
Flinders,-34.5833,150.8552,57.99,79,0,1.01,AU,1619436513
Sobolevo,54.4299,31.8996,43.45,42,84,9.93,RU,1619436513
Pervomayskiy,53.2485,40.2871,49.75,49,66,10.18,RU,1619436513
Kapaa,22.0752,-159.319,73.4,78,90,14.97,US,1619436226
Wasilla,61.5814,-149.4394,37.0,69,1,3.44,US,1619436367
Ismailia,30.6043,32.2723,78.8,31,20,11.5,EG,1619436514
Anadyr,64.75,177.4833,23.0,93,40,2.24,RU,1619436514
Porto Nacional,-10.7081,-48.4172,75.2,88,20,9.22,BR,1619436514
Lüderitz,-26.6481,15.1594,69.37,71,89,7.92,NA,1619436514
Saldanha,-33.0117,17.9442,66.2,72,9,14.97,ZA,1619436514
Katsuura,35.1333,140.3,53.6,54,20,11.5,JP,1619436338
Little Current,45.9793,-81.9248,28.4,74,99,4.61,CA,1619436515
Mar del Plata,-38.0023,-57.5575,57.99,87,75,3.44,AR,1619436515
Punta Arenas,-53.15,-70.9167,41.0,100,75,4.61,CL,1619436515
Mossamedes,-15.1961,12.1522,82.4,61,40,11.5,AO,1619436515
Busselton,-33.65,115.3333,66.0,77,100,3.56,AU,1619436516
Grand Gaube,-20.0064,57.6608,75.0,88,99,3.0,MU,1619436516
Jamestown,42.097,-79.2353,32.0,80,90,9.22,US,1619436516
Ucluelet,48.9329,-125.5528,46.99,90,97,3.91,CA,1619436516
Omaruru,-21.4333,15.9333,83.91,17,0,9.17,NA,1619436516
Santa Rosa,14.3122,121.1114,84.2,65,20,8.05,PH,1619436516
Mwene-Ditu,-7.0,23.45,77.56,70,81,4.5,CD,1619436516
Samdrup Jongkhar District,26.9167,91.6167,86.43,24,57,5.39,BT,1619436516
Kaitangata,-46.2817,169.8464,42.01,69,52,8.01,NZ,1619436517
Nikolskoye,59.7035,30.7861,41.0,87,75,6.71,RU,1619436517
Bredasdorp,-34.5322,20.0403,68.0,64,40,5.75,ZA,1619436517
Tuktoyaktuk,69.4541,-133.0374,-3.06,99,35,9.08,CA,1619436517
Rabo de Peixe,37.8,-25.5833,62.6,67,40,11.5,PT,1619436517
Tasiilaq,65.6145,-37.6368,39.2,70,90,12.66,GL,1619436517
Broken Hill,-31.95,141.4333,62.6,48,0,10.36,AU,1619436518
Kharp,66.8014,65.8081,34.2,100,100,7.92,RU,1619436518
Ribeira Grande,38.5167,-28.7,62.6,67,40,8.05,PT,1619436518
São Félix do Xingu,-6.6447,-51.995,73.9,96,91,1.12,BR,1619436518
Saint George,37.1041,-113.5841,64.4,25,90,10.36,US,1619436519
Manggar,-2.8833,108.2667,83.17,73,55,6.71,ID,1619436519
Ponta do Sol,32.6667,-17.1,69.8,52,20,6.91,PT,1619436519
Almeirim,-1.5233,-52.5817,75.92,95,100,3.71,BR,1619436519
Hermanus,-34.4187,19.2345,73.0,59,0,5.01,ZA,1619436519
Fortuna,40.5982,-124.1573,46.0,100,90,4.61,US,1619436519
Port Elizabeth,-33.918,25.5701,75.2,57,0,8.05,ZA,1619436313
Saskylakh,71.9167,114.0833,7.66,92,71,12.71,RU,1619436519
Barrow,71.2906,-156.7887,10.4,79,1,9.22,US,1619436520
Chokurdakh,70.6333,147.9167,23.95,98,97,3.29,RU,1619436520
Yar-Sale,66.8333,70.8333,33.89,99,100,13.94,RU,1619436520
Hofn,64.2539,-15.2082,46.4,57,20,20.71,IS,1619436520
Verkhnevilyuysk,63.4453,120.3167,25.5,94,100,7.9,RU,1619436520
Esperance,-33.8667,121.9,62.6,94,19,4.61,AU,1619436520
Brigg,53.552,-0.4921,52.0,62,20,8.05,GB,1619436302
Tarui,35.3667,136.5333,39.0,38,0,1.01,JP,1619436521
Bluff,-46.6,168.3333,44.01,76,94,7.0,NZ,1619436521
Rawson,-43.3002,-65.1023,55.89,61,64,7.47,AR,1619436521
Kavieng,-2.5744,150.7967,82.47,73,92,2.82,PG,1619436521
Poso,-1.3959,120.7524,78.89,85,61,2.86,ID,1619436521
Sola,-13.8833,167.55,82.56,72,96,7.27,VU,1619436521
Luanda,-8.8368,13.2343,86.0,79,40,8.05,AO,1619436521
Novorzhev,57.0294,29.3338,42.82,57,99,9.62,RU,1619436521
Bambous Virieux,-20.3428,57.7575,78.8,83,75,13.8,MU,1619436522
São Gabriel da Cachoeira,-0.1303,-67.0892,72.57,99,98,0.4,BR,1619436522
Lao Cai,22.4833,103.95,78.08,91,86,3.67,VN,1619436440
Cockburn Town,21.4612,-71.1419,77.0,73,40,9.22,TC,1619436522
Riyadh,24.6877,46.7219,98.6,10,75,8.05,SA,1619436339
Albany,42.6001,-73.9662,37.0,48,26,1.99,US,1619436522
Honiara,-9.4333,159.95,78.66,87,93,4.23,SB,1619436522
Bagdarin,54.4333,113.6,33.78,64,100,13.38,RU,1619436522
Jiwani,25.05,61.7417,86.14,60,70,10.54,PK,1619436523
Władysławowo,54.7909,18.4009,44.01,56,75,11.5,PL,1619436523
Cherskiy,68.75,161.3,8.4,89,63,4.83,RU,1619436523
Ahipara,-35.1667,173.1667,57.45,82,100,7.4,NZ,1619436523
Paamiut,61.994,-49.6678,35.69,96,100,6.04,GL,1619436523
Dikson,73.5069,80.5464,29.79,96,100,21.3,RU,1619436523
São Francisco de Assis,-29.5503,-55.1311,53.31,79,1,3.09,BR,1619436523
Vermilion,40.1667,-87.7506,41.0,75,1,8.05,US,1619436523
Hervey Bay,-25.2986,152.8535,66.0,78,2,1.01,AU,1619436524
East London,-33.0153,27.9116,80.6,41,0,9.22,ZA,1619436524
Ballina,-28.8667,153.5667,66.2,77,75,8.05,AU,1619436524
Scarborough,54.2797,-0.4044,55.0,61,100,3.0,GB,1619436524
Uglich,57.5275,38.3317,40.71,70,100,12.77,RU,1619436524
Westport,41.1415,-73.3579,43.0,52,1,16.11,US,1619436524
